date,account,classification,daily_net_pnl,trade_count,wins,losses,total_volume,avg_trade_size,long_trades,win_rate,buy_ratio,cum_pnl,running_max,drawdown
2024-10-27,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,-328618.795706,462,12,450,6842632.02,14810.891818181817,139,0.025974025974025976,0.3008658008658009,-328618.795706,-328618.795706,0.0
2025-02-19,0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1921443.303381,3356,1361,1907,54854631.95,16345.241939809297,1572,0.41646266829865364,0.4684147794994041,1592824.507675,1592824.507675,0.0
2024-10-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,20405.27894192,320,170,145,797679.97,2492.74990625,145,0.5396825396825397,0.453125,20405.27894192,20405.27894192,0.0
2025-02-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,15433.81238538,3533,1536,1993,5982611.5,1693.3516841211435,1528,0.43525077925758004,0.4324936314746674,35839.091327300004,35839.091327300004,0.0
2024-10-27,0x271b280974205ca63b716753467d5a371de622ab,Greed,1758.4981639999999,5,4,1,159708.30000000002,31941.660000000003,3,0.8,0.6,1758.4981639999999,1758.4981639999999,0.0
2025-02-19,0x271b280974205ca63b716753467d5a371de622ab,Fear,26326.73116,1136,439,697,12310719.5,10836.90096830986,506,0.386443661971831,0.4454225352112676,28085.229324,28085.229324,0.0
2024-10-27,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,120801.0892227,6472,2841,3629,3129795.22,483.5901143386898,3086,0.4391035548686244,0.476823238566131,120801.0892227,120801.0892227,0.0
2025-02-19,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,9297.5682108491,6794,2912,3875,3622817.7,533.2378127759788,3606,0.429055547369972,0.5307624374448042,130098.6574335491,130098.6574335491,0.0
2024-10-27,0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,51478.504979,763,359,404,2244613.0,2941.8256880733943,305,0.4705111402359109,0.399737876802097,51478.504979,51478.504979,0.0
2025-02-19,0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,114042.231075,2471,1316,1155,7919556.5600000005,3205.000631323351,872,0.5325779036827195,0.3528935653581546,165520.736054,165520.736054,0.0
2023-03-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,0.0,3,0,0,477.0,159.0,3,0.0,1.0,0.0,0.0,0.0
2023-11-14,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,-11.072125999999999,2,0,2,46133.87,23066.935,2,0.0,1.0,-11.072125999999999,0.0,-11.072125999999999
2024-03-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,-5567.91872,27,9,18,82312.05,3048.5944444444444,4,0.3333333333333333,0.14814814814814814,-5578.990846,0.0,-5578.990846
2024-10-27,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,36980.19081048,156,73,70,402974.52999999997,2583.170064102564,64,0.5104895104895105,0.41025641025641024,31401.19996448,31401.19996448,0.0
2025-02-19,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,-59405.964862860004,349,92,255,575346.58,1648.5575358166188,66,0.26512968299711814,0.18911174785100288,-28004.764898380003,31401.19996448,-59405.964862860004
2024-10-27,0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,34843.72517625,144,76,68,655891.22,4554.800138888889,59,0.5277777777777778,0.4097222222222222,34843.72517625,34843.72517625,0.0
2025-02-19,0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,-21845.46296632,3445,1100,2345,16537484.2,4800.430827285922,1589,0.3193033381712627,0.4612481857764877,12998.262209930002,34843.72517625,-21845.46296632
2024-10-27,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,7501.03840994,191,79,112,532207.47,2786.4265445026176,112,0.41361256544502617,0.5863874345549738,7501.03840994,7501.03840994,0.0
